Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
Included,auto,No,0,51517,69920,1439,122876,Included
Included,auto,No,0,39246,39552,2140,80938,Included
Included,auto,No,0,23678,39552,2063,65293,Included
Included,auto,No,0,16365,46912,2099,65376,Included
Included,auto,No,0,22046,47808,2092,71946,Included
Included,auto,No,0,39061,39168,1945,80174,Included
Included,auto,No,0,38045,40320,2113,80478,Included
Included,auto,No,0,23574,39552,2096,65222,Included
Included,auto,No,0,37230,39552,2271,79053,Included
Included,auto,No,0,26706,52800,2064,81570,Included
Included,auto,No,0,23758,57952,2605,84315,Included
Included,auto,No,0,54405,91968,2922,149295,Included
Included,auto,No,0,17192,30144,2032,49368,Included
Included,auto,No,0,26929,52768,1980,81677,Included
Included,auto,No,0,32537,48960,2213,83710,Included
Included,auto,No,0,17244,30112,1968,49324,Included
Included,auto,No,0,29053,50624,1979,81656,Included
Included,auto,No,0,26311,39424,2843,68578,Included
Included,auto,No,0,36303,75360,2999,114662,Included
Included,auto,No,0,37464,75296,2998,115758,Included
Included,auto,No,0,27524,60384,2661,90569,Included
Included,auto,No,0,20934,47424,2742,71100,Included
Included,auto,No,0,18672,69024,2760,90456,Included
Included,auto,No,0,48653,71360,2685,122698,Included
Included,auto,No,0,26029,84448,2488,112965,Included
Included,auto,No,0,108729,161920,4514,275163,Included
Included,auto,No,0,2102,42528,471,45101,Included
Included,auto,No,0,103520,110848,3785,218153,Included
Included,auto,No,0,92749,110240,4168,207157,Included
Included,auto,No,0,82857,115488,3568,201913,Included
Included,auto,No,0,76643,134848,3607,215098,Included
Included,auto,No,0,46843,148704,4214,199761,Included
Included,auto,No,0,77844,120288,3762,201894,Included
Included,auto,No,0,91373,123488,3889,218750,Included
Included,auto,No,0,84876,174528,3721,263125,Included
Included,auto,No,0,68018,104832,3624,176474,Included
Included,auto,No,0,79261,108064,3956,191281,Included
Included,auto,No,0,57654,129440,3528,190622,Included
Included,auto,No,0,146218,125440,5332,276990,Included
Included,auto,No,0,87563,99680,3755,190998,Included
Included,auto,No,0,69122,101184,3474,173780,Included
Included,auto,No,0,49575,101984,3678,155237,Included
Included,auto,No,0,76331,91488,3423,171242,Included
Included,auto,No,0,51981,118592,3346,173919,Included
Included,auto,No,0,83592,144256,4177,232025,Included
Included,auto,No,0,64278,96832,3053,164163,Included
Included,auto,No,0,62807,105664,3930,172401,Included
Included,auto,No,0,80427,124544,3886,208857,Included
Included,auto,No,0,154360,238240,4501,397101,Included
Included,auto,No,0,87285,117216,3899,208400,Included
Included,auto,No,0,48180,123488,3568,175236,Included
Included,auto,No,0,95525,105792,4089,205406,Included
Included,auto,No,0,68022,101280,3599,172901,Included
Included,auto,No,0,73301,112704,3904,189909,Included
Included,auto,No,0,72196,133920,3775,209891,Included
Included,auto,No,0,69945,129216,4254,203415,Included
Included,auto,No,0,57294,124832,3661,185787,Included
Included,auto,No,0,62309,161184,4050,227543,Included
Included,auto,No,0,81968,134240,4615,220823,Included
Included,auto,No,0,79356,134112,4243,217711,Included
Included,auto,No,0,119501,111072,4027,234600,Included
Included,auto,No,0,85649,100000,3779,189428,Included
Included,auto,No,0,84341,102048,3905,190294,Included
Included,auto,No,0,49197,128384,3896,181477,Included
Included,auto,No,0,68492,131168,3667,203327,Included
Included,auto,No,0,64710,94880,3728,163318,Included
Included,auto,No,0,97381,106912,3865,208158,Included
Included,auto,No,0,43218,402048,7992,453258,Included
Included,auto,No,0,27965,41472,2048,71485,Included
Included,auto,No,0,111993,116480,4330,232803,Included
Included,auto,No,0,105625,123104,4162,232891,Included
Included,auto,No,0,98612,114336,4447,217395,Included
Included,auto,No,0,155445,196256,5050,356751,Included
Included,auto,No,0,76311,110912,4175,191398,Included
Included,auto,No,0,82905,121792,4354,209051,Included
Included,auto,No,0,119625,111200,4459,235284,Included
Included,auto,No,0,78123,119552,4031,201706,Included
Included,auto,No,0,80979,118592,4354,203925,Included
Included,auto,No,0,87019,109408,3776,200203,Included
Included,auto,No,0,66203,122688,3811,192702,Included
Included,auto,No,0,67607,95872,3645,167124,Included
Included,auto,No,0,63671,143776,3972,211419,Included
Included,auto,No,0,80667,87104,4071,171842,Included
Included,auto,No,0,67410,134624,3960,205994,Included
Included,auto,No,0,58231,128608,3708,190547,Included
Included,auto,No,0,78782,118720,3948,201450,Included
Included,auto,No,0,85194,136832,4000,226026,Included
Included,auto,No,0,82633,119488,4345,206466,Included
Included,auto,No,0,84234,106560,3849,194643,Included
Included,auto,No,0,62152,91040,3720,156912,Included
Included,auto,No,0,90470,132320,3910,226700,Included
Included,auto,No,0,87822,132512,3982,224316,Included
Included,auto,No,0,76072,129088,4271,209431,Included
Included,auto,No,0,71985,82720,3837,158542,Included
Included,auto,No,0,73690,132480,4057,210227,Included
Included,auto,No,0,147159,200864,5005,353028,Included
Included,auto,No,0,76870,114432,4106,195408,Included
Included,auto,No,0,44564,92096,3948,140608,Included
Included,auto,No,0,71617,126016,3846,201479,Included
Included,auto,No,0,88745,105632,4876,199253,Included
Included,auto,No,0,66586,124416,4342,195344,Included
Included,auto,No,0,11996,147968,3746,163710,Included
Included,auto,No,0,13850,176640,3601,194091,Included
Included,auto,No,0,14637,212992,4148,231777,Included
Included,auto,No,0,20433,199168,4884,224485,Included
Included,auto,No,0,15000,232448,4946,252394,Included
Included,auto,No,0,14128,152576,4169,170873,Included
Included,auto,No,0,74649,140864,3974,219487,Included
Included,auto,No,0,14422,178176,4120,196718,Included
Included,auto,No,0,13430,168448,3965,185843,Included
Included,auto,No,0,15808,226304,4512,246624,Included
Included,auto,No,0,17617,190464,3954,212035,Included
Included,auto,No,0,60997,102368,3505,166870,Included
