Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
Included,auto,No,102736,0,332960,3326,439022,0.23
Included,auto,No,17431,0,392224,3850,413505,0.14
Included,auto,No,4608,0,283520,3416,291544,0.1
Included,auto,No,56904,0,391904,3568,452376,0.19
Included,auto,No,4910,0,243808,3701,252419,0.09
Included,auto,No,35099,0,196448,3463,235010,0.11
Included,auto,No,190944,0,221280,5250,417474,0.33
Included,auto,No,32604,0,266176,3780,302560,0.13
Included,auto,No,15679,0,292352,4131,312162,0.12
Included,auto,No,33809,0,275744,5109,314662,0.14
Included,auto,No,28719,0,155648,4262,188629,0.1
Included,auto,No,44078,0,96960,4271,145309,0.1
Included,auto,No,0,33471,652036,831,686338,0.21
Included,auto,No,0,47309,994879,995,1043183,0.31
Included,auto,No,0,10696,223215,646,234557,0.07
Included,auto,No,0,23250,577139,993,601382,0.17
Included,auto,No,0,33107,454213,1337,488657,0.17
Included,auto,No,0,85570,1498304,3648,1587522,0.51
Included,auto,No,0,72000,1237975,3654,1313629,0.44
Included,auto,No,0,38733,112812,272,151817,0.1
Included,auto,No,0,45314,154317,1139,200770,0.14
Included,auto,No,0,809,6369,46,7224,0.003
Included,auto,No,0,43037,151510,1698,196245,0.14
Included,auto,No,0,1862,12486,104,14452,0.01
Included,auto,No,0,28717,90488,3246,122451,0.11
Included,auto,No,0,1037,5760,144,6941,0.003
Included,auto,No,0,22040,19608,1858,43506,0.07
Included,auto,No,0,2401,18504,194,21099,0.01
Included,auto,No,0,395,6912,35,7342,0.002
