tree.c:696,23.728749532126908
tree.c:698,23.728749532126908
tree.c:699,22.560952187101154
tree.c:700,23.728749532126908
tree.c:702,22.560952187101154
tree.c:725,21.380131186506269
tree.c:696,23.728749532126908
tree.c:698,23.728749532126908
tree.c:699,22.560952187101154
tree.c:700,23.728749532126908
tree.c:702,22.560952187101154
tree.c:727,21.380131186506269
tree.c:734,20.184678436261496
tree.c:737,18.972700163838482
tree.c:741,10
tree.c:745,20.295423814821365
tree.c:746,10
tree.c:750,23.381792871649349
tree.c:751,10
tree.c:755,33.482126204538389
tree.c:756,34.961050523035837
tree.c:760,33.959877849942799
tree.c:763,34.961050523035837
tree.c:767,33.959877849942799
tree.c:774,34.961050523035837
tree.c:775,34.961050523035837
tree.c:777,33.959877849942799
tree.c:782,33.959877849942799
tree.c:794,30
tree.c:795,30
tree.c:798,30.625
