uri.c:927,17.260180788361502
uri.c:929,15.010464875557675
uri.c:228,0
uri.c:240,0
uri.c:241,17.175425307960431
uri.c:242,18.319669739649893
uri.c:243,18.283694330298598
uri.c:244,0
uri.c:248,21.029805133827661
uri.c:889,19.775014451620887
uri.c:890,19.013547215165513
uri.c:893,19.34642932101978
uri.c:788,22.48118806381391
uri.c:789,16.666666666666668
uri.c:795,22.611814082948463
uri.c:796,22.611814082948463
uri.c:797,21.81818181818182
uri.c:799,21.373228079357713
uri.c:802,21.81818181818182
uri.c:804,0
uri.c:696,13.333333333333332
uri.c:703,21.928730879189814
uri.c:704,13.333333333333332
uri.c:708,22.387367417677293
uri.c:709,23.740763909759849
uri.c:710,22.637295519941656
uri.c:711,21.479582074545633
uri.c:712,10
uri.c:714,10
uri.c:715,22.51677634841597
uri.c:718,23.635744266230663
uri.c:721,22.51677634841597
uri.c:723,21.373228079357713
uri.c:809,22.51677634841597
uri.c:810,23.635744266230663
uri.c:811,22.51677634841597
uri.c:814,21.373228079357713
uri.c:816,20.195200241517401
uri.c:896,20.978355755766206
uri.c:897,16
uri.c:901,21.17883069164764
uri.c:902,16
uri.c:906,20.343023406871033
uri.c:907,20.343023406871033
uri.c:911,19.064544544018748
uri.c:938,17.68531544724009
uri.c:939,16.113575269932845
uri.c:836,21.41618834604364
uri.c:837,16.666666666666668
uri.c:840,21.81818181818182
uri.c:843,21.81818181818182
uri.c:845,0
uri.c:738,13.333333333333332
uri.c:745,18.559618071727993
uri.c:746,13.333333333333332
uri.c:750,18.982477341389728
uri.c:751,19.03448275862069
uri.c:752,17.996443390634262
uri.c:753,15.649484536082474
uri.c:754,10
uri.c:756,10
uri.c:757,20.487804878048781
uri.c:760,21.488372093023255
uri.c:763,20.487804878048781
uri.c:765,19.487179487179485
uri.c:850,19.487179487179485
uri.c:851,20.487804878048781
uri.c:852,19.487179487179485
uri.c:856,18.486486486486488
uri.c:857,16
uri.c:861,18
uri.c:862,16
