INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:832:67
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:274:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:276:15
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1080:0
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1737:26
[INTEGRITY] OVERFLOW at libplist/src/plist.c:997:9
[INTEGRITY] OVERFLOW at libplist/src/plist.c:473:17
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:90:2
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1304:40
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:832:83
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:37:0
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:38:21
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:152:7
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:67:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:140:10
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:34:6
[INTEGRITY] OVERFLOW at libplist/src/plist.c:392:5
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:892:21
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:899:23
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:698:21
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:718:21
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:701:25
[INTEGRITY] OVERFLOW at libplist/libcnary/node.c:150:6
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:64:9
[INTEGRITY] OVERFLOW at libplist/libcnary/node_list.c:137:13
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:862:47
[INTEGRITY] OVERFLOW at libplist/src/plist.c:450:13
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:844:59
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1304:17
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:793:21
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:866:48
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:844:91
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:843:69
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:784:37
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:877:17
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:861:47
[INTEGRITY] OVERFLOW at libplist/src/oplist.c:852:72
[INTEGRITY] OVERFLOW at libplist/src/plist.c:1732:0
#647	INITED cov: 285 ft: 2373 corp: 536/325Kb exec/s: 0 rss: 29Mb
#2140	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4071 exec/s: 0 rss: 29Mb L: 39/4060 MS: 3 ChangeBinInt-ChangeBinInt-EraseBytes-
#2921	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4071 exec/s: 0 rss: 29Mb L: 1376/4060 MS: 1 EraseBytes-
#5093	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4082 exec/s: 0 rss: 30Mb L: 73/4060 MS: 2 ChangeByte-EraseBytes-
#6034	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4082 exec/s: 0 rss: 30Mb L: 160/4060 MS: 1 EraseBytes-
#6110	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4082 exec/s: 0 rss: 30Mb L: 226/4060 MS: 1 EraseBytes-
#7787	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4093 exec/s: 0 rss: 30Mb L: 3858/4060 MS: 2 ChangeBit-EraseBytes-
#9374	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 390/4060 MS: 2 ShuffleBytes-EraseBytes-
#9951	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 97/4060 MS: 2 EraseBytes-CopyPart-
#10898	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 145/4060 MS: 2 CrossOver-EraseBytes-
#13139	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 268/4060 MS: 1 EraseBytes-
#13976	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 5/4060 MS: 2 ChangeBit-EraseBytes-
#14439	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 186/4060 MS: 3 CrossOver-ChangeByte-EraseBytes-
#14668	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 16/4060 MS: 4 ShuffleBytes-CrossOver-CrossOver-EraseBytes-
#14804	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 261/4060 MS: 1 EraseBytes-
#15131	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 44/4060 MS: 2 InsertRepeatedBytes-EraseBytes-
#17202	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 352/4060 MS: 1 EraseBytes-
#17238	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 222/4060 MS: 1 EraseBytes-
#17307	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 849/4060 MS: 4 ChangeBit-CopyPart-ChangeByte-EraseBytes-
